,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2
68,55983,Luminant Generation Company LLC,50615,TXU Sweetwater Generating Plant,TX,Nolan,GT01,Natural Gas Fired Combined Cycle,CT,,S,X,,,,45.0, ,41.0,41.0, ,N, , ,RE,X,6,1989,5,2012,22.91666667,Y,IPP CHP,3,T,NG,
69,55983,Luminant Generation Company LLC,50615,TXU Sweetwater Generating Plant,TX,Nolan,GT02,Natural Gas Fired Combined Cycle,CT,,S,X,,,,99.0, ,86.0,86.0, ,N, , ,RE,X,6,1989,5,2012,22.91666667,N,IPP CHP,3,X,NG,
70,55983,Luminant Generation Company LLC,50615,TXU Sweetwater Generating Plant,TX,Nolan,GT03,Natural Gas Fired Combined Cycle,CT,,S,X,,,,99.0, ,86.0,86.0, ,N, , ,RE,X,6,1989,5,2012,22.91666667,N,IPP CHP,3,X,NG,
71,55983,Luminant Generation Company LLC,50615,TXU Sweetwater Generating Plant,TX,Nolan,STG1,Natural Gas Fired Combined Cycle,CA,,S,Y,X,,,101.0, ,76.0,76.0, ,N, , ,RE,X,6,1989,9,2009,20.25,N,IPP CHP,3,X,NG,
72,19876,Virginia Electric & Power Co,50966,Bellmeade Power Station,VA,Richmond City,1,Natural Gas Fired Combined Cycle,CT,G781,S,X,N,,,110.0,0.850,95.0,95.0,32.0,, , ,RE,X,2,1997,3,2019,22.08333333,N,Electric Utility,1,X,NG,DFO
73,19876,Virginia Electric & Power Co,50966,Bellmeade Power Station,VA,Richmond City,2,Natural Gas Fired Combined Cycle,CT,G781,S,X,N,,,110.0,0.850,95.0,95.0,32.0,, , ,RE,X,2,1997,3,2019,22.08333333,N,Electric Utility,1,X,NG,DFO
74,19876,Virginia Electric & Power Co,50966,Bellmeade Power Station,VA,Richmond City,3,Natural Gas Fired Combined Cycle,CA,G781,S,Y,X,,,110.0,0.850,77.0,77.0,25.0,, , ,RE,X,2,1997,3,2019,22.08333333,N,Electric Utility,1,X,NG,DFO
75,12981,Motiva Enterprises LLC,50973,Motiva Enterprises Port Arthur Refinery,TX,Jefferson,GN27,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,21.3, ,4.3,12.0, ,N, , ,RE,X,5,1984,2,2011,26.75,Y,Industrial CHP,7,T,NG,OG
76,5347,Dow Chemical Co,52006,LaO Energy Systems,LA,Iberville,GEN7,Natural Gas Fired Combined Cycle,CT,,S,X,N,"EES,DOWCHEM","EES,DOWCHEM",125.0,0.850,95.0,114.0,75.0,N, , ,RE,X,12,1982,9,2016,33.75,Y,Industrial CHP,7,T,NG,OG
77,5347,Dow Chemical Co,52006,LaO Energy Systems,LA,Iberville,GEN8,Natural Gas Fired Combined Cycle,CT,,S,X,N,"EES,DOWCHEM","EES,DOWCHEM",125.0, ,95.0,114.0, ,N, , ,RE,X,5,1983,6,2011,28.08333333,Y,Industrial CHP,7,T,NG,OG
78,19153,Nassau Energy Corp,52056,Nassau Energy Corp,NY,Nassau,GT1,Natural Gas Fired Combined Cycle,CT,CC1,W,X,N,,,43.0,0.850,38.0,45.0,28.5,N, , ,RE,X,3,1991,7,2022,31.33333333,Y,IPP CHP,3,T,NG,DFO
79,19153,Nassau Energy Corp,52056,Nassau Energy Corp,NY,Nassau,ST1,Natural Gas Fired Combined Cycle,CA,CC1,W,Y,X,,,12.0,0.850,12.0,12.0,5.6,N, , ,RE,X,3,1991,7,2022,31.33333333,Y,IPP CHP,3,T,NG,DFO
80,59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-33,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,49.0, ,49.0,47.0, ,N, , ,RE,X,12,1953,1,2007,53.08333333,Y,Industrial CHP,7,,NG,
81,59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-35,Natural Gas Fired Combined Cycle,CT,,S,X,,,,119.0, ,95.6,106.5, ,N, , ,RE,X,2,1983,11,2009,26.75,Y,Industrial CHP,7,T,NG,
82,59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-36,Natural Gas Fired Combined Cycle,CT,,S,X,,,,119.0, ,99.0,111.0, ,N, , ,RE,X,2,1983,10,2009,26.66666667,Y,Industrial CHP,7,T,NG,
83,59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-62,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,94.5, ,68.3,76.1,50.0,N, , ,RE,X,9,1982,8,2011,28.91666667,Y,Industrial CHP,7,T,NG,
84,59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-64,Natural Gas Fired Combined Cycle,CA,PLTB,S,N,X,,,64.8,0.900,35.0,35.0,9.0,N, , ,RE,X,9,1982,10,2022,40.08333333,Y,Industrial CHP,7,T,NG,
85,64469,HF Sinclair Corporation,54268,HF Sinclair Puget Sound Refining,WA,Skagit,STG1,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,27.0,0.900,26.0,26.0,7.0,, , ,RE,X,1,1993,6,2015,22.41666667,Y,Industrial CHP,7,B,NG,OG
86,63997,Western Power and Steam II LLC,54410,Western Power & Steam Inc,CA,Kern,STG,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,8.3,0.850, , ,0.0,N, , ,RE,X,3,1990,10,2015,25.58333333,Y,Industrial CHP,7,T,NG,
87,65159,"BT Generation Holdings, LLC",54586,Tanner Street Generation,MA,Middlesex,V643,Natural Gas Fired Combined Cycle,CT,,S,X,,,,65.5, ,58.0,58.0, ,N, , ,RE,X,10,1992,12,2007,15.16666667,N,IPP Non-CHP,2,X,NG,DFO
88,56304,Air Products LLC,55309,Air Products Port Arthur,TX,Jefferson,GEN2,Natural Gas Fired Combined Cycle,CA,SMR1,S,N,X,,,3.0, ,3.0,3.0, ,N, , ,RE,X,11,2000,4,2012,11.41666667,Y,Industrial CHP,7,B,NG,
